RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_Y,VIDEO_FRAME_INDEX_START,VIDEO_FRAME_INDEX_END,VIDEO_NAME_START,VIDEO_NAME_END,CURRENT_IA_Jaw,CURRENT_IA_RightEyebrow,CURRENT_IA_LeftEyebrow,CURRENT_IA_Nose,CURRENT_IA_RightEye,CURRENT_IA_LeftEye,CURRENT_IA_Mouth,CURRENT_IA_Face,CURRENT_IA_Periocular,CURRENT_IA_LeftScreen,CURRENT_IA_RightScreen,CURRENT_IA_WholeScreen,CURRENT_IA_NonFace,CURRENT_Area_Jaw,CURRENT_Area_RightEyebrow,CURRENT_Area_LeftEyebrow,CURRENT_Area_Nose,CURRENT_Area_RightEye,CURRENT_Area_LeftEye,CURRENT_Area_Mouth,CURRENT_Area_Face,CURRENT_Area_Periocular,CURRENT_Area_LeftScreen,CURRENT_Area_RightScreen,CURRENT_Area_WholeScreen
sub01,1,270,198.8,667.3,712,720,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,1,0,1,1,94999.0,3753.3601904297248,3764.156912841834,10701.6015625,6378.750152587891,6585.753707885742,10819.37934753485,237188.0,38804.64992148429,1036800.0,1036800.0,2073600.0
sub01,1,254,948.4,602.3,722,729,demo_video.mp4,demo_video.mp4,1,0,0,0,0,0,1,1,0,1,0,1,0,90518.0,4227.120600585826,4373.279344482347,9544.799896240234,5922.000427246094,6308.999938964844,7606.56055053696,234036.0,44549.08664077148,1036800.0,1036800.0,2073600.0
sub01,1,1078,1930.4,1682.6,778,810,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,83194.5,3478.3204724118114,3836.160629882477,8859.601135253906,6088.500061035156,6081.751708984375,10057.31799743697,214880.0,39055.29552304745,1036800.0,1036800.0,2073600.0
sub01,1,542,1220.2,1407.2,812,828,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,75289.5,3585.6030944827944,3766.3214978026226,8680.799835205078,5436.001358032227,5609.2474365234375,13497.12141235359,195000.0,41012.57516772486,1036800.0,1036800.0,2073600.0
sub01,1,32,2006.0,2236.0,831,832,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,79762.0,3804.479436035268,4001.0443322760984,8570.398406982422,5307.750625610352,5291.997451782227,11723.400428771973,204624.0,44178.46793581545,1036800.0,1036800.0,2073600.0
sub01,1,142,1086.0,2351.5,874,878,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,90077.0,3907.4413293460384,3962.1575170895085,9572.402069091797,6342.749786376953,6183.00178527832,13513.50051880069,233442.0,38803.32361572236,1036800.0,1036800.0,2073600.0
sub01,1,498,1584.2,1605.9,907,922,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,84640.5,4269.6009521484375,4111.916370850056,10270.799530029297,6576.750411987305,6257.248611450195,12180.477839965373,209616.0,39154.61217714846,1036800.0,1036800.0,2073600.0
sub01,1,530,1289.5,1411.2,925,941,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,89224.5,4039.9206188963726,4289.760465087369,9760.798370361328,5890.4998779296875,5872.49885559082,12125.881856080145,231636.0,42312.51163442433,1036800.0,1036800.0,2073600.0
sub01,1,796,1656.0,2231.3,944,967,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,91209.5,3633.8381616212428,3990.962039794773,10348.80314331036,6525.001525878906,6491.251373291016,9899.760077513754,230622.0,40062.77926340327,1036800.0,1036800.0,2073600.0
sub01,1,102,1938.4,2150.3,969,972,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,95687.0,3434.397747802548,4047.1177990725264,10819.199279785156,6765.749053955078,6961.497802734375,14064.180421752855,256462.0,43401.90143298358,1036800.0,1036800.0,2073600.0
