RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	VIDEO_FRAME_INDEX_START	VIDEO_FRAME_INDEX_END	VIDEO_NAME_START	VIDEO_NAME_END
sub01	2	222	1277.70	685.30	396	403	demo_video.mp4	demo_video.mp4
sub01	2	26	774.50	781.90	406	407	demo_video.mp4	demo_video.mp4
sub01	2	692	746.60	809.10	409	429	demo_video.mp4	demo_video.mp4
sub01	2	224	783.00	703.30	430	437	demo_video.mp4	demo_video.mp4
sub01	2	1814	783.00	802.60	438	492	demo_video.mp4	demo_video.mp4
sub01	2	1422	893.80	1109.70	493	536	demo_video.mp4	demo_video.mp4
sub01	2	532	876.50	783.10	614	630	demo_video.mp4	demo_video.mp4
sub01	2	168	1378.50	560.10	636	641	demo_video.mp4	demo_video.mp4
sub01	2	22	1385.70	615.20	642	643	demo_video.mp4	demo_video.mp4
sub01	2	96	1378.50	581.30	644	646	demo_video.mp4	demo_video.mp4
sub01	2	48	1377.60	609.00	648	649	demo_video.mp4	demo_video.mp4
sub01	2	362	904.50	811.80	653	664	demo_video.mp4	demo_video.mp4
sub01	2	1138	883.40	1027.60	664	699	demo_video.mp4	demo_video.mp4
sub01	2	30	1140.40	1014.70	754	755	demo_video.mp4	demo_video.mp4
sub01	2	280	934.70	834.70	756	764	demo_video.mp4	demo_video.mp4
sub01	2	40	1343.20	431.90	991	992	demo_video.mp4	demo_video.mp4
sub01	2	42	1364.40	458.70	998	999	demo_video.mp4	demo_video.mp4
sub01	2	24	1312.40	383.10	1000	1001	demo_video.mp4	demo_video.mp4
sub01	2	60	1403.40	515.80	1007	1008	demo_video.mp4	demo_video.mp4
sub01	2	26	1355.60	617.70	1015	1016	demo_video.mp4	demo_video.mp4
sub01	2	260	849.00	910.60	1019	1027	demo_video.mp4	demo_video.mp4
sub01	2	472	861.30	1837.60	1056	1070	demo_video.mp4	demo_video.mp4
sub01	2	38	1431.90	2309.50	1072	1073	demo_video.mp4	demo_video.mp4
sub01	2	52	1459.20	631.50	1174	1175	demo_video.mp4	demo_video.mp4
sub01	2	112	1537.10	1017.00	1177	1181	demo_video.mp4	demo_video.mp4
sub01	2	1292	1019.10	1446.00	1182	1221	demo_video.mp4	demo_video.mp4
sub01	2	94	1484.50	1257.40	1223	1225	demo_video.mp4	demo_video.mp4
sub01	2	70	1299.50	928.20	1227	1229	demo_video.mp4	demo_video.mp4
sub01	2	102	1463.90	1083.00	1230	1233	demo_video.mp4	demo_video.mp4
sub01	2	26	1395.30	925.90	1234	1235	demo_video.mp4	demo_video.mp4
sub01	2	90	1273.60	524.30	1239	1242	demo_video.mp4	demo_video.mp4
sub01	2	348	833.20	700.60	1246	1256	demo_video.mp4	demo_video.mp4
sub01	2	26	832.40	695.60	1260	1261	demo_video.mp4	demo_video.mp4
sub01	2	1234	821.80	1007.00	1262	1299	demo_video.mp4	demo_video.mp4
sub01	2	58	1358.50	737.70	1300	1302	demo_video.mp4	demo_video.mp4
sub01	2	24	1360.70	680.60	1302	1303	demo_video.mp4	demo_video.mp4
sub01	2	116	1355.20	575.60	1303	1306	demo_video.mp4	demo_video.mp4
sub01	2	62	1370.70	412.30	1625	1627	demo_video.mp4	demo_video.mp4
sub01	2	414	880.60	876.10	1634	1646	demo_video.mp4	demo_video.mp4
sub01	2	554	1169.60	1388.50	1648	1664	demo_video.mp4	demo_video.mp4
sub01	2	588	826.10	757.80	1666	1684	demo_video.mp4	demo_video.mp4
sub01	2	1030	793.90	707.20	1685	1715	demo_video.mp4	demo_video.mp4
sub01	2	2278	758.60	686.00	1716	1784	demo_video.mp4	demo_video.mp4
sub01	2	222	761.60	577.80	1785	1792	demo_video.mp4	demo_video.mp4
sub01	2	278	761.20	693.90	1793	1	demo_video.mp4	GreenDot_highres.mp4
sub02	1	670	977.30	478.10	1	21	demo_video.mp4	demo_video.mp4
sub02	1	258	858.50	464.50	21	29	demo_video.mp4	demo_video.mp4
sub02	1	842	752.30	484.70	30	55	demo_video.mp4	demo_video.mp4
sub02	1	250	886.70	429.70	56	63	demo_video.mp4	demo_video.mp4
sub02	1	706	753.20	496.10	64	85	demo_video.mp4	demo_video.mp4
sub02	1	296	907.10	514.20	86	95	demo_video.mp4	demo_video.mp4
sub02	1	1034	790.60	524.00	95	126	demo_video.mp4	demo_video.mp4
sub02	1	300	940.60	537.00	127	136	demo_video.mp4	demo_video.mp4
sub02	1	66	872.90	554.60	141	143	demo_video.mp4	demo_video.mp4
sub02	1	144	1089.20	969.50	199	204	demo_video.mp4	demo_video.mp4
sub02	1	688	1056.70	552.80	205	225	demo_video.mp4	demo_video.mp4
sub02	1	1128	873.60	524.80	226	260	demo_video.mp4	demo_video.mp4
sub02	1	196	980.70	529.50	261	267	demo_video.mp4	demo_video.mp4
sub02	1	372	920.00	535.70	267	278	demo_video.mp4	demo_video.mp4
sub02	1	208	626.80	765.90	311	317	demo_video.mp4	demo_video.mp4
